,experiment,hour,date,device_make,browser,aware
895,1,6,1,41,2,0
896,1,4,2,13,1,0
897,1,5,5,13,1,0
898,0,15,0,47,7,0
899,0,3,2,13,1,1
900,1,0,7,43,2,1
901,1,16,5,13,1,1
902,1,8,6,13,1,1
903,0,15,0,13,1,1
904,0,15,0,13,1,0
905,0,15,0,78,2,0
906,1,15,2,13,1,1
907,1,9,3,13,1,1
908,0,6,6,13,1,0
909,1,17,1,73,7,1
910,0,15,0,13,1,1
911,0,1,1,13,1,0
912,0,15,0,62,2,0
913,1,19,5,13,1,1
914,0,20,1,13,1,1
915,1,13,6,13,1,0
916,1,22,5,13,1,0
917,1,9,6,13,1,0
918,1,15,7,13,1,0
919,1,16,5,43,2,0
920,0,15,0,13,1,0
921,1,4,3,13,1,1
922,1,6,1,69,2,1
923,0,9,6,43,2,1
924,1,10,4,13,1,1
925,0,11,1,13,1,1
926,1,20,6,13,1,1
927,1,12,0,31,2,1
928,1,2,1,1,4,1
929,1,20,5,13,1,1
930,1,10,0,71,2,1
931,0,10,1,3,4,0
932,1,8,0,60,2,1
933,0,12,1,13,1,0
934,0,15,0,13,1,0
935,1,7,1,13,1,1
936,0,19,5,13,1,0
937,0,15,0,54,4,1
938,0,19,4,13,1,1
939,0,15,0,42,7,0
940,0,17,6,13,1,0
941,0,15,0,13,1,0
942,1,9,6,13,2,1
943,0,15,0,114,5,0
944,1,8,1,86,7,1
945,0,15,0,13,1,0
946,0,3,7,13,1,0
947,0,15,0,13,1,1
948,0,15,0,13,1,0
949,0,16,5,13,1,1
950,1,3,0,13,1,0
951,0,5,6,68,7,1
952,1,13,4,13,2,1
953,1,9,6,25,2,0
954,1,9,7,13,4,1
955,1,20,5,79,7,1
956,1,3,7,13,1,0
957,0,12,2,77,7,0
958,0,10,4,64,7,1
959,0,18,2,13,1,0
960,1,12,2,13,1,1
961,1,22,5,13,1,0
962,0,8,6,13,1,0
963,0,10,2,68,2,0
964,0,13,1,52,7,0
965,0,4,2,13,1,0
966,0,5,5,13,1,0
967,1,7,0,13,1,1
968,0,10,3,13,1,1
969,0,21,5,13,1,1
970,0,11,1,114,5,0
971,0,19,6,68,7,1
972,1,9,4,13,2,1
973,1,21,6,68,2,1
974,0,1,7,33,4,1
975,0,13,1,13,1,0
976,1,16,5,69,2,1
977,1,9,0,13,1,0
978,1,6,3,13,1,1
979,1,5,3,81,7,0
980,0,19,6,13,1,0
981,0,5,4,26,1,0
982,0,8,2,65,7,0
983,1,6,7,13,4,0
984,1,13,0,13,1,1
985,1,3,1,13,1,0
986,0,15,0,64,7,1
987,1,9,7,68,7,0
988,0,15,0,73,4,0
989,0,20,5,13,1,1
990,0,23,5,104,4,1
